pbt_Rgroup,tagrate
2018-NPTH-DWOR-NFClearwaterR-EggBox,0.9333
2018-SHOB-DWOR-EggBox,0.9381
2018-SHOB-PAHS-EggBox,0.9298
2019-CLWH-DWOR-NewsomeCr-NoClip,1
2019-CLWH-SFCR-MeadowCr-AdClip,0.9747
2019-CLWH-SFCR-MeadowCr-NoClip,0.9848
2019-CLWH-SFCR-RedHouse-AdClip,0.9508
2019-DWOR-DWOR-ClearCr-AdClip,1
2019-DWOR-DWOR-LoloCr-NoClip,0.9744
2019-DWOR-DWOR-NFClearwaterR-AdClip,0.9389
2019-DWOR-DWOR-RedHouse-AdClip,0.9324
2019-HNFH-EFNAT-EastForkSalmonR-NoClip,1
2019-HNFH-SAWT-SawtoothFH-AdClip,0.8824
2019-IRRI-IMNA-Imnaha,0.9683
2019-IRRI-WALL-WallowaR,0.9959
2019-LYON-TOUW-TouchetR-WA,1
2019-LYON-TUCA-TucannonR-WA,0.9706
2019-LYON-WALL-CottonWoodGR/LyonsFerry/Touchet-WA,1
2019-LYON-WALL-CottonWoodGR/WallowaR/LyonsFerry/Touchet/WallaWalla-WA,1
2019-MVFH-DWOR-PahsimeroiR-NoClip,0.8605
2019-MVFH-DWOR-YankeeForkR-AdClip,0.9474
2019-MVFH-PAHS-LittleSalmonR-AdClip,0.9753
2019-MVFH-SAWT-SawtoothFH-AdClip,0.9242
2019-MVFH-USAL-LittleSalmonR-AdClip,1
2019-MVFH-USAL-PahsimeroiR-NoClip,0.9811
2019-MVFH-USAL-YankeeForkR-AdClip,1
2019-MVFH-USAL-YankeeForkR-NoClip,1
2019-NIAG-OXBO-LittleSalmonR-AdClip,0.9643
2019-NIAG-OXBO-SnakeR-HellsCanyon-AdClip,0.9159
2019-NIAG-PAHS-LittleSalmonR-AdClip,0.7631
2019-NIAG-PAHS-PahsimeroiR-AdClip,0.9557
2019-NIAG-PAHS-PahsimeroiR-AdClip/LittleSalmonR-AdClip,0
2019-SHOB-DWOR-EggBox,0.9468
2019-SHOB-PAHS-EggBox,0.9911
2020-CLWH-DWOR-NewsomeCr-NoClip,1
2020-CLWH-SFCR-MeadowCr-AdClip,1
2020-CLWH-SFCR-MeadowCr-NoClip,1
2020-CLWH-SFCR-RedHouse-AdClip,1
2020-DWOR-DWOR-ClearCr-AdClip,1
2020-DWOR-DWOR-LoloCr-NoClip,1
2020-DWOR-DWOR-NFClearwaterR-AdClip,0.9491
2020-DWOR-DWOR-NFClearwaterR-AdClip/RedHouse-AdClip,0
2020-DWOR-DWOR-NFClearwaterR-Parr,1
2020-DWOR-DWOR-RedHouse-AdClip,0.826
2020-DWOR-DWOR-RedHouse-NoClip,1
2020-HNFH-EFNAT-EastForkSalmonR-NoClip,1
2020-HNFH-SAWT-SawtoothFH-AdClip,0.9915
2020-IRRI-IMNA-Imnaha,0.968
2020-IRRI-WALL-WallowaR,1
2020-LYON-TOUW-TouchetR-WA,0.7143
2020-LYON-TUCA-TucannonR-WA,0.375
2020-LYON-WALL-CottonWoodGR/LyonsFerry/Touchet-WA,0.98
2020-MVFH-DWOR-LittleSalmonR-AdClip,1
2020-MVFH-DWOR-PahsimeroiR-NoClip,1
2020-MVFH-DWOR-YankeeForkR-AdClip,1
2020-MVFH-PAHS-LittleSalmonR-AdClip,0.9737
2020-MVFH-SAWT-SawtoothFH-AdClip,1
2020-MVFH-USAL-PahsimeroiR-NoClip,1
2020-MVFH-USAL-YankeeForkR-AdClip,1
2020-MVFH-USAL-YankeeForkR-NoClip,1
2020-NIAG-OXBO-HellsCanyon-AdClip/LittleSalmonR-AdClip,0
2020-NIAG-OXBO-LittleSalmonR-AdClip,0.8208
2020-NIAG-OXBO-SnakeR-HellsCanyon-AdClip,0.8658
2020-NIAG-PAHS-LittleSalmonR-AdClip,0.951
2020-NIAG-PAHS-PahsimeroiR-AdClip,0.8159
2020-NIAG-PAHS-PahsimeroiR-AdClip/LittleSalmonR-AdClip,0
2020-SHOB-DWOR-EggBox,0.9091
2020-SHOB-PAHS-EggBox,1
2021-CLWH-DWOR-NewsomeCr-NoClip,1
2021-CLWH-SFCR-MeadowCr-AdClip,1
2021-CLWH-SFCR-MeadowCr-AdClip/NoClip,1
2021-CLWH-SFCR-MeadowCr-NoClip,1
2021-CLWH-SFCR-RedHouse-AdClip,1
2021-DWOR-DWOR-ClearCr-AdClip,1
2021-DWOR-DWOR-NFClearwaterR-AdClip,0.9899
2021-DWOR-DWOR-NFClearwaterR-EggBox,1
2021-DWOR-DWOR-NFClearwaterR-Parr,0.9231
2021-DWOR-DWOR-RedHouse-AdClip,1
2021-DWOR-DWOR-SfCLWRmm23-NoClip,1
2021-HNFH-EFNAT-EastForkSalmonR-NoClip,0.3077
2021-HNFH-SAWT-SawtoothFH-AdClip,1
2021-IRRI-IMNA-Imnaha,1
2021-IRRI-WALL-WallowaR,0.9951
2021-LYON-TOUW-TouchetR-WA,0.6765
2021-LYON-TUCA-TucannonR-WA,0.3103
2021-LYON-WALL-CottonWoodGR/LyonsFerry/Touchet-WA,0.9737
2021-MVFH-DWOR-LittleSalmonR-AdClip,1
2021-MVFH-DWOR-PahsimeroiR-NoClip,1
2021-MVFH-PAHS-LittleSalmonR-AdClip,1
2021-MVFH-SAWT-SawtoothFH-AdClip,1
2021-MVFH-USAL-LittleSalmonR-AdClip,0.9643
2021-MVFH-USAL-PahsimeroiR-NoClip,1
2021-MVFH-USAL-YankeeForkR-AdClip,1
2021-MVFH-USAL-YankeeForkR-NoClip,1
2021-NIAG-OXBO-LittleSalmonR-AdClip,0.9815
2021-NIAG-OXBO-SnakeR-HellsCanyon-AdClip,0.9806
2021-NIAG-PAHS-LittleSalmonR-AdClip,1
2021-NIAG-PAHS-PahsimeroiR-AdClip,0.9718
2021-SHOB-DWOR-EggBox,1
2021-SHOB-PAHS-EggBox,1
2021-SHOB-USAL-EggBox,0.6667
All_PahSaw_Eggs2008,0.9938
All_PahSaw_Eggs2009,0.958
All_PahSaw_Eggs2010,0.9513
All_PahSaw_Eggs2011,0.8
All_PahSaw_Eggs2012,0.9667
Cottonwood2008,0.9647
Cottonwood2009,0.9583
Cottonwood2010,1
Cottonwood2011,0.9598
Cottonwood2012,1
Cottonwood2013,1
Cottonwood2014,0.9939
Cottonwood2015,0.9322
Cottonwood2016,0.9653
Cottonwood2017,0.9836
Cottonwood2018,0.9098
Cottonwood2019,1
Cottonwood2020,0.98
Deschutes2013,1
Deschutes2014,1
Deschutes2015,1
Deschutes2016,1
Deschutes2017,0.998
Deschutes2018,0.985
Deschutes2019,0.9583
Deschutes2020,0.9912
Dwor_Yankee2014,1
Dwor_Yankee2015,0.8205
Dwor_Yankee2019,0.9474
Dwor-C2010,0.9678
Dwor-C2011,0.9832
Dwor-C2012,0.9544
Dwor-C2013,0.9631
Dwor-C2014,0.9872
Dwor-C2015,0.887
Dwor-C2016,0.9427
Dwor-C2017,0.9824
Dwor-C2018,0.9349
Dwor-C2019,0.9507
Dwor-C2020,0.9822
Dwor-S2010,0.9639
Dwor-S2011,0.9913
Dwor-S2012,0.9835
Dwor-S2013,0.9787
Dwor-S2014,0.9884
Dwor-S2015,0.8125
Dwor-S2016,0.9412
Dwor-S2017,0.9872
Dwor-S2018,0.9333
Dwor-S2019,0.8966
Dwor-S2020,1
Dworshak2008,0.6749
Dworshak2009,0.9776
Dworshak2010,0.9671
Dworshak2011,0.9851
Dworshak2012,0.9614
Dworshak2013,0.9642
Dworshak2014,0.9689
Dworshak2015,0.871
Dworshak2016,0.9426
Dworshak2017,0.9831
Dworshak2018,0.9346
Dworshak2019,0.944
EF Salmon2008,0.9615
EF Salmon2009,1
EF Salmon2010,1
EF Salmon2011,1
EF Salmon2012,0.9412
EF Salmon2013,0.9167
EF Salmon2014,1
EF Salmon2015,1
EF Salmon2016,1
EF Salmon2017,0.5
EF Salmon2018,1
EF Salmon2019,1
EF Salmon2020,1
EFS_Nat2008,1
EFS_Nat2009,1
Hood River2012,1
Hood River2013,0.8622
Hood River2014,0.859
Hood River2015,0.9167
Hood River2016,0.907
Hood River2017,0.8711
Hood River2018,1
Hood River2019,0.956
Hood River2020,1
Imnaha2008,1
Imnaha2009,1
Imnaha2010,0.8836
Imnaha2011,1
Imnaha2012,0.9557
Imnaha2013,0.7277
Imnaha2014,0.955
Imnaha2015,0.8822
Imnaha2016,0.9258
Imnaha2017,0.9394
Imnaha2018,0.7883
Imnaha2019,0.9683
Imnaha2020,0.968
Lyons Ferry2009,0.9906
Lyons Ferry2010,1
Lyons Ferry2011,1
Lyons Ferry2012,1
Methow2015,0.9467
Methow2016,1
Methow2017,1
Methow2018,0.966
NPT_Dwor_Egg2016,1
NPT_Dwor_Egg2017,1
NPT_Dwor_Egg2018,0.9333
NPTK2011,1
Okanogan2015,1
Okanogan2016,1
Okanogan2017,1
Okanogan2018,1
Omak2015,1
Omak2016,1
Omak2017,1
Omak2018,1
Oxbow2008,0.9089
Oxbow2009,0.875
Oxbow2010,0.9407
Oxbow2011,0.9202
Oxbow2012,0.9841
Oxbow2013,0.9709
Oxbow2014,0.9701
Oxbow2015,0.9278
Oxbow2016,0.875
Oxbow2017,0.5253
Oxbow2018,0.9345
Oxbow2019,0.9159
Oxbow2020,0.9676
Pahsimeroi2008,0.9415
Pahsimeroi2009,0.9483
Pahsimeroi2010,0.9703
Pahsimeroi2011,0.7936
Pahsimeroi2012,0.9813
Pahsimeroi2013,0.9944
Pahsimeroi2014,0.9962
Pahsimeroi2015,0.9209
Pahsimeroi2016,0.9884
Pahsimeroi2017,0.9797
Pahsimeroi2018,0.9853
Pahsimeroi2019,0.9557
Pahsimeroi2020,0.9925
Sawtooth2008,0.9928
Sawtooth2009,1
Sawtooth2010,0.9968
Sawtooth2011,0.9967
Sawtooth2012,1
Sawtooth2013,0.9965
Sawtooth2014,0.9942
Sawtooth2015,0.9415
Sawtooth2016,0.9848
Sawtooth2017,0.9939
Sawtooth2018,0.9098
Sawtooth2019,0.8892
Sawtooth2020,0.9915
SBT_Basin2008,1
SBT_Basin2009,0.9832
SBT_Beaver2011,0.8
SBT_Dwor_Egg2016,0.9091
SBT_Dwor_Egg2018,0.9381
SBT_Dwor_Egg2019,0.9468
SBT_Dwor_Egg2020,0.9091
SBT_Egg2012,0.9677
SBT_Indian2009,0.9107
SBT_Indian2010,0.9524
SBT_Indian2011,0.8095
SBT_Indian2013,1
SBT_Pah_Egg2008,0.9938
SBT_Pah_Egg2010,0.9116
SBT_Pah_Egg2014,1
SBT_Pah_Egg2015,0.9371
SBT_Pah_Egg2016,0.9167
SBT_Pah_Egg2017,0.9815
SBT_Pah_Egg2018,0.9298
SBT_Pah_Egg2019,0.9911
SBT_Pah_Egg2020,1
SBT_Panther2009,0.9405
SBT_Panther2010,0.9615
SBT_Panther2012,0.9667
SBT_Panther2013,0.949
SBT_USAL_Egg2015,0.8542
SBT_USAL_Egg2016,1
SBT_Yankee2008,0.9143
SBT_Yankee2009,1
SBT_Yankee2010,1
SBT_Yankee2011,0.9897
SBT_Yankee2012,1
SBT_YF_Egg2008,1
SBT_YF_Egg2010,1
SBT_YF_Egg2011,1
SBT_YF_Egg2012,1
SF Clearwater2010,1
SF Clearwater2011,0.8571
SF Clearwater2012,0.9875
SF Clearwater2013,1
SF Clearwater2014,1
SF Clearwater2015,0.9356
SF Clearwater2016,0.9756
SF Clearwater2017,1
SF Clearwater2018,0.9474
SF Clearwater2019,0.9706
SF Clearwater2020,1
Skamania_win2019,0.7071
Skamania_win2020,1
Skamania2013,0.9915
Skamania2014,1
Skamania2015,1
Skamania2016,0.2011
Skamania2017,0.9403
Skamania2018,0.984
Skamania2019,0.9869
Skamania2020,1
Skamania-win2013,0.9837
Skamania-win2014,1
Skamania-win2015,1
Skamania-win2016,0.0605
Skamania-win2017,0.9588
Skamania-win2018,0.6136
Touchet2009,0.8889
Touchet2010,0.6429
Touchet2011,1
Touchet2012,1
Touchet2013,1
Touchet2014,1
Touchet2015,1
Touchet2016,0.625
Touchet2017,1
Touchet2018,1
Touchet2019,1
Touchet2020,0.7143
Tucannon2009,0.875
Tucannon2010,0.6944
Tucannon2011,0.6861
Tucannon2012,0.7647
Tucannon2013,1
Tucannon2014,0.9697
Tucannon2015,0.8667
Tucannon2016,1
Tucannon2017,1
Tucannon2018,0.8929
Tucannon2019,0.9706
Tucannon2020,0.375
Twisp2013,1
Twisp2014,1
Twisp2015,1
Twisp2016,1
Umatilla2012,1
Umatilla2013,1
Umatilla2014,1
Umatilla2015,1
Umatilla2016,1
Umatilla2017,0.9728
Umatilla2018,0.976
Umatilla2020,1
Upper Salmon2008,1
Upper Salmon2009,1
Upper Salmon2010,0.9474
Upper Salmon2011,1
Upper Salmon2012,1
Upper Salmon2013,0.9579
Upper Salmon2014,1
Upper Salmon2015,0.7156
Upper Salmon2016,0.9911
Upper Salmon2017,1
Upper Salmon2018,0.9697
Upper Salmon2019,0.9934
Upper Salmon2020,0.9917
USAL_Lsr_Up2013,0.9669
USAL_Lsr_Up2019,1
USAL_Lsr2013,0.9634
USAL_Lsr2014,1
USAL_Lsr2015,0.6364
USAL_Lsr2016,1
USAL_Lsr2019,1
USAL_Pah2014,1
USAL_Pah2015,0.7857
USAL_Pah2016,0.9888
USAL_Pah2017,1
USAL_Pah2018,0.9706
USAL_Pah2019,0.9811
USAL_Up2013,0.9744
USAL_Yankee2013,0.9429
USAL_Yankee2014,1
USAL_Yankee2015,0.7176
USAL_Yankee2016,0.9596
USAL_Yankee2017,1
USAL_Yankee2019,1
Wallowa2009,0.9094
Wallowa2010,0.9761
Wallowa2011,0.9833
Wallowa2012,0.9918
Wallowa2013,0.9102
Wallowa2014,0.9959
Wallowa2015,0.9435
Wallowa2016,0.8981
Wallowa2017,0.9831
Wallowa2018,0.9597
Wallowa2019,0.9959
Wallowa2020,1
Wells2013,0.9395
Wells2014,0.8975
Wells2015,0.9556
Wells2016,0.9472
Wells2017,0.9551
Wells2018,0.625
Wells2019,0.8468
Wells2020,0.9876
Wenatchee2012,1
Wenatchee2013,1
Wenatchee2014,1
Wenatchee2015,1
Wenatchee2016,1
Wenatchee2017,1
Wenatchee2018,0.946
Wenatchee2019,0.9322
Wenatchee2020,1
Winthrop2012,1
Winthrop2013,1
Winthrop2014,1
Winthrop2015,1
Winthrop2016,1
Winthrop2017,1
Winthrop2018,0.97
Winthrop2019,0.8115
Winthrop2020,0.9649
